tier,name,active_cells,keep_rate_active,keep_rate_all,saturated_rate,mean_abs_delta,max_abs_delta,mean_cut_distance_of_flips,flips_near_cut_rate,zero_effect_reason
A,"산불 밴드 −20%",900,0.9178,0.9701,0.2533,4.657,16,3.11,0.8108,
A,"산사태 밴드 −20%",1035,0.9681,0.9867,0.7575,2.073,16,5.64,0.4545,
A,"호우 밴드 −20%",1125,0.9938,0.9972,0.6969,0.362,3,1.00,1.0000,
A,"응급의료 −20%",2475,0.9859,0.9859,0.4113,0.377,2,1.46,1.0000,
A,"한파 곡선 −20%",495,0.9778,0.9956,0.5313,0.806,2,1.36,1.0000,
A,"안전층 전체 동시 −20%",2475,0.9370,0.9370,0.4113,3.400,18,4.20,0.6987,
B,"미세먼지 축 가중 22% −20%",2475,0.9867,0.9867,0.4113,0.631,4,1.30,1.0000,
B,"계곡·수변 강수 ×1.5 −20%",495,0.9778,0.9956,0.5737,1.453,10,5.09,0.4545,
B,"산악 강풍 ×1.3 −20%",495,0.9899,0.9980,0.5152,0.495,1,1.00,1.0000,
B,"산악 산불 ×1.3 −20%",180,1.0000,1.0000,0.2944,0.000,0,0.00,0.0000,감점 불변(미적용 또는 반올림 흡수)
B,"해안 강풍 ×1.5 −20%",495,0.9859,0.9972,0.4404,0.578,1,1.00,1.0000,
B,"실내 할인 ×0.3 −20%",495,0.8788,0.9758,0.1051,3.806,8,3.20,0.8667,
A,"산불 밴드 +20%",900,0.9567,0.9842,0.2533,2.983,16,1.85,0.8974,
A,"산사태 밴드 +20%",1035,0.9952,0.9980,0.7575,1.175,9,0.80,1.0000,
A,"호우 밴드 +20%",1125,0.9938,0.9972,0.6969,0.244,3,0.00,1.0000,
A,"응급의료 +20%",2475,0.9842,0.9842,0.4113,0.562,2,0.28,1.0000,
A,"한파 곡선 +20%",495,1.0000,1.0000,0.5313,0.586,2,0.00,0.0000,
A,"안전층 전체 동시 +20%",2475,0.9665,0.9665,0.4113,2.275,16,1.28,0.9518,
B,"미세먼지 축 가중 22% +20%",2475,0.9875,0.9875,0.4113,0.604,3,0.77,1.0000,
B,"계곡·수변 강수 ×1.5 +20%",495,0.9838,0.9968,0.5737,1.022,7,2.25,0.8750,
B,"산악 강풍 ×1.3 +20%",495,1.0000,1.0000,0.5152,0.000,0,0.00,0.0000,감점 불변(미적용 또는 반올림 흡수)
B,"산악 산불 ×1.3 +20%",180,1.0000,1.0000,0.2944,0.000,0,0.00,0.0000,감점 불변(미적용 또는 반올림 흡수)
B,"해안 강풍 ×1.5 +20%",495,0.9818,0.9964,0.4404,0.560,1,0.00,1.0000,
B,"실내 할인 ×0.3 +20%",495,0.9232,0.9846,0.1051,2.081,5,0.95,1.0000,
C,"envType 가중 전체 제거 (전부 1.0)",2475,0.8655,0.8655,0.4113,6.989,68,6.97,0.4414,
C,"실내 할인만 제거 (indoor 1.0)",495,0.3939,0.8788,0.1051,31.321,68,7.12,0.4333,
