sigungu,d,visitors
강릉시,2021-01-01,93566
강릉시,2021-01-02,88196
강릉시,2021-01-03,56690
강릉시,2021-01-04,40411
강릉시,2021-01-05,41237
강릉시,2021-01-06,39837
강릉시,2021-01-07,35714
강릉시,2021-01-08,40624
강릉시,2021-01-09,57186
강릉시,2021-01-10,53826
강릉시,2021-01-11,43586
강릉시,2021-01-12,45874
강릉시,2021-01-13,46812
강릉시,2021-01-14,52612
강릉시,2021-01-15,60522
강릉시,2021-01-16,89201
강릉시,2021-01-17,75327
강릉시,2021-01-18,46935
강릉시,2021-01-19,49539
강릉시,2021-01-20,54586
강릉시,2021-01-21,56844
강릉시,2021-01-22,62643
강릉시,2021-01-23,89114
강릉시,2021-01-24,85228
강릉시,2021-01-25,63147
강릉시,2021-01-26,60599
강릉시,2021-01-27,61450
강릉시,2021-01-28,54134
강릉시,2021-01-29,63668
강릉시,2021-01-30,94252
강릉시,2021-01-31,91550
강릉시,2021-02-01,49522
강릉시,2021-02-02,47187
강릉시,2021-02-03,46756
강릉시,2021-02-04,46781
강릉시,2021-02-05,58426
강릉시,2021-02-06,93474
강릉시,2021-02-07,77798
강릉시,2021-02-08,53781
강릉시,2021-02-09,52370
강릉시,2021-02-10,67893
강릉시,2021-02-11,119511
강릉시,2021-02-12,166436
강릉시,2021-02-13,163100
강릉시,2021-02-14,94234
강릉시,2021-02-15,61036
강릉시,2021-02-16,55776
강릉시,2021-02-17,56525
강릉시,2021-02-18,61103
강릉시,2021-02-19,75456
강릉시,2021-02-20,115955
강릉시,2021-02-21,107408
강릉시,2021-02-22,75324
강릉시,2021-02-23,71106
강릉시,2021-02-24,71200
강릉시,2021-02-25,73700
강릉시,2021-02-26,91668
강릉시,2021-02-27,151711
강릉시,2021-02-28,181016
강릉시,2021-03-01,80276
강릉시,2021-03-02,38451
강릉시,2021-03-03,46536
강릉시,2021-03-04,50806
강릉시,2021-03-05,62044
강릉시,2021-03-06,72086
강릉시,2021-03-07,74620
강릉시,2021-03-08,56368
강릉시,2021-03-09,57225
강릉시,2021-03-10,55776
강릉시,2021-03-11,58446
강릉시,2021-03-12,64925
강릉시,2021-03-13,104962
강릉시,2021-03-14,96316
강릉시,2021-03-15,62688
강릉시,2021-03-16,59787
강릉시,2021-03-17,60070
강릉시,2021-03-18,61128
강릉시,2021-03-19,74739
강릉시,2021-03-20,101591
강릉시,2021-03-21,92312
강릉시,2021-03-22,63483
강릉시,2021-03-23,61404
강릉시,2021-03-24,62268
강릉시,2021-03-25,63486
강릉시,2021-03-26,79856
강릉시,2021-03-27,107940
강릉시,2021-03-28,92673
강릉시,2021-03-29,67078
강릉시,2021-03-30,65793
강릉시,2021-03-31,66482
강릉시,2021-04-01,52608
강릉시,2021-04-02,68117
강릉시,2021-04-03,92516
강릉시,2021-04-04,82117
강릉시,2021-04-05,58380
강릉시,2021-04-06,56284
강릉시,2021-04-07,55447
강릉시,2021-04-08,57130
강릉시,2021-04-09,76122
강릉시,2021-04-10,129636
강릉시,2021-04-11,110061
강릉시,2021-04-12,56144
강릉시,2021-04-13,52619
강릉시,2021-04-14,55076
강릉시,2021-04-15,58737
강릉시,2021-04-16,75915
강릉시,2021-04-17,115874
강릉시,2021-04-18,104818
강릉시,2021-04-19,65608
강릉시,2021-04-20,57474
강릉시,2021-04-21,57704
강릉시,2021-04-22,58667
강릉시,2021-04-23,75523
강릉시,2021-04-24,118828
강릉시,2021-04-25,105542
강릉시,2021-04-26,65954
강릉시,2021-04-27,61621
강릉시,2021-04-28,60354
강릉시,2021-04-29,61495
강릉시,2021-04-30,78344
강릉시,2021-05-01,111612
강릉시,2021-05-02,110254
강릉시,2021-05-03,75212
강릉시,2021-05-04,72216
강릉시,2021-05-05,84329
강릉시,2021-05-06,75040
강릉시,2021-05-07,84836
강릉시,2021-05-08,113060
강릉시,2021-05-09,97118
강릉시,2021-05-10,59714
강릉시,2021-05-11,58345
강릉시,2021-05-12,58846
강릉시,2021-05-13,61576
강릉시,2021-05-14,77458
강릉시,2021-05-15,110800
강릉시,2021-05-16,86373
강릉시,2021-05-17,61596
강릉시,2021-05-18,75390
강릉시,2021-05-19,99166
강릉시,2021-05-20,68481
강릉시,2021-05-21,78414
